"","subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"155","28839058-d297-439b-acc7-d598babd4b82","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","con",1,"high","high",5
"156","4486e114-8391-4656-a7c8-884e83fe37e3","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",1
"157","4486e114-8391-4656-a7c8-884e83fe37e3","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","left","con",1,"medium","medium",2
"158","4486e114-8391-4656-a7c8-884e83fe37e3","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",3
"159","4486e114-8391-4656-a7c8-884e83fe37e3","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",4
"160","4486e114-8391-4656-a7c8-884e83fe37e3","count","high complexity, high function","garn","img/stim_hchf_b.png","left","con",1,"high","high",5
"161","cc5623ee-fe51-4e31-8ea8-0829b2e5af7a","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",1
"162","cc5623ee-fe51-4e31-8ea8-0829b2e5af7a","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","ind",0,"low","low",2
"163","cc5623ee-fe51-4e31-8ea8-0829b2e5af7a","count","high complexity, low function","zorp","img/stim_hclf_a.png","left","ind",0,"high","low",3
"164","cc5623ee-fe51-4e31-8ea8-0829b2e5af7a","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","right","ind",0,"medium","medium",4
"165","cc5623ee-fe51-4e31-8ea8-0829b2e5af7a","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"166","e40a3014-8896-41b6-8c26-1bc70928272f","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"167","e40a3014-8896-41b6-8c26-1bc70928272f","count","high complexity, low function","blicket","img/stim_hclf_b.png","right","ind",0,"high","low",2
"168","e40a3014-8896-41b6-8c26-1bc70928272f","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","right","ind",0,"medium","medium",3
"169","e40a3014-8896-41b6-8c26-1bc70928272f","count","low complexity, high function","toma","img/stim_lchf_a.png","left","ind",0,"low","high",4
"170","e40a3014-8896-41b6-8c26-1bc70928272f","count","high complexity, high function","sarel","img/stim_hchf_a.png","right","ind",0,"high","high",5
"171","366a0f8e-2ac0-4666-b6ad-563b68a74904","count","high complexity, low function","blicket","img/stim_hclf_a.png","left","ind",0,"high","low",1
"172","366a0f8e-2ac0-4666-b6ad-563b68a74904","count","high complexity, high function","toma","img/stim_hchf_a.png","right","con",1,"high","high",2
"173","366a0f8e-2ac0-4666-b6ad-563b68a74904","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","ind",0,"medium","medium",3
"174","366a0f8e-2ac0-4666-b6ad-563b68a74904","count","low complexity, low function","garn","img/stim_lclf_a.png","left","con",1,"low","low",4
"175","366a0f8e-2ac0-4666-b6ad-563b68a74904","count","low complexity, high function","zorp","img/stim_lchf_a.png","right","con",1,"low","high",5
"176","62401b0a-252a-4da6-8493-b5f637968c12","count","low complexity, low function","garn","img/stim_lclf_a.png","right","ind",0,"low","low",1
"177","62401b0a-252a-4da6-8493-b5f637968c12","count","medium complexity, medium function","blicket","img/stim_mcmf_b.png","right","ind",0,"medium","medium",2
"178","62401b0a-252a-4da6-8493-b5f637968c12","count","low complexity, high function","zorp","img/stim_lchf_b.png","left","ind",0,"low","high",3
"179","62401b0a-252a-4da6-8493-b5f637968c12","count","high complexity, high function","sarel","img/stim_hchf_b.png","right","ind",0,"high","high",4
"180","62401b0a-252a-4da6-8493-b5f637968c12","count","high complexity, low function","toma","img/stim_hclf_a.png","right","ind",0,"high","low",5
"181","d40432d2-3153-4db3-b25d-51d2d0e1a341","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"182","d40432d2-3153-4db3-b25d-51d2d0e1a341","count","high complexity, high function","blicket","img/stim_hchf_a.png","left","ind",0,"high","high",2
"183","d40432d2-3153-4db3-b25d-51d2d0e1a341","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","con",1,"high","low",3
"184","d40432d2-3153-4db3-b25d-51d2d0e1a341","count","low complexity, high function","toma","img/stim_lchf_b.png","right","con",1,"low","high",4
"185","d40432d2-3153-4db3-b25d-51d2d0e1a341","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","ind",0,"medium","medium",5
"186","1f48d823-b216-4693-97ed-12b06c7ae8f9","count","low complexity, low function","toma","img/stim_lclf_a.png","left","con",1,"low","low",1
"187","1f48d823-b216-4693-97ed-12b06c7ae8f9","count","low complexity, high function","sarel","img/stim_lchf_a.png","left","con",1,"low","high",2
"188","1f48d823-b216-4693-97ed-12b06c7ae8f9","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","ind",0,"medium","medium",3
"189","1f48d823-b216-4693-97ed-12b06c7ae8f9","count","high complexity, low function","zorp","img/stim_hclf_b.png","left","ind",0,"high","low",4
"190","1f48d823-b216-4693-97ed-12b06c7ae8f9","count","high complexity, high function","blicket","img/stim_hchf_b.png","left","con",1,"high","high",5
"191","3839094a-f0b1-4a40-b368-a4b4ae4cd8d4","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","left","ind",0,"medium","medium",1
"192","3839094a-f0b1-4a40-b368-a4b4ae4cd8d4","count","low complexity, high function","blicket","img/stim_lchf_a.png","right","ind",0,"low","high",2
